id;amount;code;expense_date;notes;owner_expense_type_id
1;12101;Markets Checking input;2022-06-16;Mouse;1
2;63886;salmon Rustic;2022-06-16;Tuna;2
3;33592;drive THX Open-source;2022-06-15;Team-oriented;3
4;13751;withdrawal dynamic;2022-06-16;Books rich;4
5;63606;Fish;2022-06-16;enterprise matrices;5
6;1588;transitional Forward Pizza;2022-06-16;up;6
7;31778;Fish;2022-06-16;Lithuanian feed;7
8;52415;hacking;2022-06-16;Baby up Concrete;8
9;98855;Credit mindshare;2022-06-16;Chicken;9
10;87658;Handcrafted;2022-06-16;Brunei Wooden drive;10
